2024-09-24 16:02:52,466 DEBUG   HandlerThread:3660504 [system_monitor.py:probe():223] {'os': 'Linux-4.18.0-553.16.1.el8_10.x86_64-x86_64-with-glibc2.28', 'python': '3.10.11', 'heartbeatAt': '2024-09-24T14:02:52.386930', 'startedAt': '2024-09-24T14:02:51.583706', 'docker': None, 'cuda': None, 'args': (), 'state': 'running', 'program': '/system/user/publicwork/sanokows/Denoising_diff_sampler/main.py', 'codePathLocal': 'main.py', 'codePath': 'main.py', 'host': 'gorilla', 'username': 'sanokows', 'executable': '/system/apps/userenv/sanokows/rayjay_clone/bin/python', 'cpu_count': 48, 'cpu_count_logical': 96, 'cpu_freq': {'current': 2757.9285624999998, 'min': 1200.0, 'max': 3700.0}, 'cpu_freq_per_core': [{'current': 2700.0, 'min': 1200.0, 'max': 3700.0}, {'current': 3399.999, 'min': 1200.0, 'max': 3700.0}, {'current': 2700.0, 'min': 1200.0, 'max': 3700.0}, {'current': 2700.0, 'min': 1200.0, 'max': 3700.0}, {'current': 2700.0, 'min': 1200.0, 'max': 3700.0}, {'current': 2700.0, 'min': 1200.0, 'max': 3700.0}, {'current': 2700.0, 'min': 1200.0, 'max': 3700.0}, {'current': 2700.0, 'min': 1200.0, 'max': 3700.0}, {'current': 2700.0, 'min': 1200.0, 'max': 3700.0}, {'current': 2700.0, 'min': 1200.0, 'max': 3700.0}, {'current': 2700.0, 'min': 1200.0, 'max': 3700.0}, {'current': 2700.0, 'min': 1200.0, 'max': 3700.0}, {'current': 2700.0, 'min': 1200.0, 'max': 3700.0}, {'current': 2700.0, 'min': 1200.0, 'max': 3700.0}, {'current': 2700.0, 'min': 1200.0, 'max': 3700.0}, {'current': 2700.0, 'min': 1200.0, 'max': 3700.0}, {'current': 2700.0, 'min': 1200.0, 'max': 3700.0}, {'current': 2700.0, 'min': 1200.0, 'max': 3700.0}, {'current': 2700.0, 'min': 1200.0, 'max': 3700.0}, {'current': 2700.0, 'min': 1200.0, 'max': 3700.0}, {'current': 2700.0, 'min': 1200.0, 'max': 3700.0}, {'current': 2700.0, 'min': 1200.0, 'max': 3700.0}, {'current': 2700.0, 'min': 1200.0, 'max': 3700.0}, {'current': 2700.0, 'min': 1200.0, 'max': 3700.0}, {'current': 2700.0, 'min': 1200.0, 'max': 3700.0}, {'current': 2700.0, 'min': 1200.0, 'max': 3700.0}, {'current': 2700.0, 'min': 1200.0, 'max': 3700.0}, {'current': 2700.0, 'min': 1200.0, 'max': 3700.0}, {'current': 2700.0, 'min': 1200.0, 'max': 3700.0}, {'current': 2700.0, 'min': 1200.0, 'max': 3700.0}, {'current': 2700.0, 'min': 1200.0, 'max': 3700.0}, {'current': 2700.0, 'min': 1200.0, 'max': 3700.0}, {'current': 2700.0, 'min': 1200.0, 'max': 3700.0}, {'current': 2700.0, 'min': 1200.0, 'max': 3700.0}, {'current': 2700.0, 'min': 1200.0, 'max': 3700.0}, {'current': 2700.0, 'min': 1200.0, 'max': 3700.0}, {'current': 2700.0, 'min': 1200.0, 'max': 3700.0}, {'current': 2700.0, 'min': 1200.0, 'max': 3700.0}, {'current': 2700.0, 'min': 1200.0, 'max': 3700.0}, {'current': 2700.0, 'min': 1200.0, 'max': 3700.0}, {'current': 2700.0, 'min': 1200.0, 'max': 3700.0}, {'current': 2700.0, 'min': 1200.0, 'max': 3700.0}, {'current': 2700.0, 'min': 1200.0, 'max': 3700.0}, {'current': 2700.0, 'min': 1200.0, 'max': 3700.0}, {'current': 2700.0, 'min': 1200.0, 'max': 3700.0}, {'current': 2700.0, 'min': 1200.0, 'max': 3700.0}, {'current': 2700.0, 'min': 1200.0, 'max': 3700.0}, {'current': 2700.0, 'min': 1200.0, 'max': 3700.0}, {'current': 2700.0, 'min': 1200.0, 'max': 3700.0}, {'current': 2700.0, 'min': 1200.0, 'max': 3700.0}, {'current': 2700.0, 'min': 1200.0, 'max': 3700.0}, {'current': 2700.0, 'min': 1200.0, 'max': 3700.0}, {'current': 2700.0, 'min': 1200.0, 'max': 3700.0}, {'current': 2700.0, 'min': 1200.0, 'max': 3700.0}, {'current': 2700.0, 'min': 1200.0, 'max': 3700.0}, {'current': 2700.0, 'min': 1200.0, 'max': 3700.0}, {'current': 2700.0, 'min': 1200.0, 'max': 3700.0}, {'current': 3308.826, 'min': 1200.0, 'max': 3700.0}, {'current': 2700.0, 'min': 1200.0, 'max': 3700.0}, {'current': 2700.0, 'min': 1200.0, 'max': 3700.0}, {'current': 2700.0, 'min': 1200.0, 'max': 3700.0}, {'current': 2700.0, 'min': 1200.0, 'max': 3700.0}, {'current': 3400.0, 'min': 1200.0, 'max': 3700.0}, {'current': 2700.0, 'min': 1200.0, 'max': 3700.0}, {'current': 2700.0, 'min': 1200.0, 'max': 3700.0}, {'current': 2700.0, 'min': 1200.0, 'max': 3700.0}, {'current': 2700.0, 'min': 1200.0, 'max': 3700.0}, {'current': 2700.0, 'min': 1200.0, 'max': 3700.0}, {'current': 2700.0, 'min': 1200.0, 'max': 3700.0}, {'current': 2700.0, 'min': 1200.0, 'max': 3700.0}, {'current': 2700.0, 'min': 1200.0, 'max': 3700.0}, {'current': 2700.0, 'min': 1200.0, 'max': 3700.0}, {'current': 3526.671, 'min': 1200.0, 'max': 3700.0}, {'current': 2700.0, 'min': 1200.0, 'max': 3700.0}, {'current': 2700.0, 'min': 1200.0, 'max': 3700.0}, {'current': 2700.0, 'min': 1200.0, 'max': 3700.0}, {'current': 2700.0, 'min': 1200.0, 'max': 3700.0}, {'current': 2700.0, 'min': 1200.0, 'max': 3700.0}, {'current': 2700.0, 'min': 1200.0, 'max': 3700.0}, {'current': 2700.0, 'min': 1200.0, 'max': 3700.0}, {'current': 2700.0, 'min': 1200.0, 'max': 3700.0}, {'current': 2700.0, 'min': 1200.0, 'max': 3700.0}, {'current': 2700.0, 'min': 1200.0, 'max': 3700.0}, {'current': 2700.0, 'min': 1200.0, 'max': 3700.0}, {'current': 2700.0, 'min': 1200.0, 'max': 3700.0}, {'current': 2700.0, 'min': 1200.0, 'max': 3700.0}, {'current': 2700.0, 'min': 1200.0, 'max': 3700.0}, {'current': 2700.0, 'min': 1200.0, 'max': 3700.0}, {'current': 2700.0, 'min': 1200.0, 'max': 3700.0}, {'current': 2700.0, 'min': 1200.0, 'max': 3700.0}, {'current': 2700.0, 'min': 1200.0, 'max': 3700.0}, {'current': 2700.0, 'min': 1200.0, 'max': 3700.0}, {'current': 2700.0, 'min': 1200.0, 'max': 3700.0}, {'current': 3401.529, 'min': 1200.0, 'max': 3700.0}, {'current': 2700.0, 'min': 1200.0, 'max': 3700.0}, {'current': 2700.0, 'min': 1200.0, 'max': 3700.0}], 'disk': {'/': {'total': 185.34247970581055, 'used': 26.17745590209961}}, 'gpu': 'NVIDIA A40', 'gpu_count': 8, 'gpu_devices': [{'name': 'NVIDIA A40', 'memory_total': 48305799168}, {'name': 'NVIDIA A40', 'memory_total': 48305799168}, {'name': 'NVIDIA A40', 'memory_total': 48305799168}, {'name': 'NVIDIA A40', 'memory_total': 48305799168}, {'name': 'NVIDIA A40', 'memory_total': 48305799168}, {'name': 'NVIDIA A40', 'memory_total': 48305799168}, {'name': 'NVIDIA A40', 'memory_total': 48305799168}, {'name': 'NVIDIA A40', 'memory_total': 48305799168}], 'memory': {'total': 754.0076217651367}}
2024-09-24 16:02:52,467 INFO    HandlerThread:3660504 [system_monitor.py:probe():224] Finished collecting system info
2024-09-24 16:02:52,467 INFO    HandlerThread:3660504 [system_monitor.py:probe():227] Publishing system info
2024-09-24 16:02:52,468 DEBUG   HandlerThread:3660504 [system_info.py:_save_conda():209] Saving list of conda packages installed into the current environment
2024-09-24 16:02:53,235 INFO    Thread-17 :3660504 [dir_watcher.py:_on_file_created():271] file/dir created: /system/user/publicwork/sanokows/Denoising_diff_sampler/wandb/run-20240924_160251-pnfs87ad/files/conda-environment.yaml
2024-09-24 16:02:57,596 DEBUG   HandlerThread:3660504 [system_info.py:_save_conda():224] Saving conda packages done
2024-09-24 16:02:57,607 INFO    HandlerThread:3660504 [system_monitor.py:probe():229] Finished publishing system info
2024-09-24 16:02:57,615 DEBUG   HandlerThread:3660504 [handler.py:handle_request():158] handle_request: status_report
2024-09-24 16:02:57,615 DEBUG   HandlerThread:3660504 [handler.py:handle_request():158] handle_request: keepalive
2024-09-24 16:02:57,616 DEBUG   SenderThread:3660504 [sender.py:send():391] send: files
